Flow ID,Source IP,Src Port,Destination IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Label
10.0.0.5-10.0.0.6-1-0-0,10.0.0.5,0,10.0.0.6,0,1,20/01/2026 15:23:29,163.745000,30032,0,1261400,0,0,0,0,0,1312744.46,31255.82,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 18:52:42,0.255000,197609,0,8299578,0,0,0,0,0,22582913.68,537688.42,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 18:53:42,0.023000,101378,0,5474412,0,0,0,0,0,36295560.00,672140.00,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 18:53:42,0.055000,244315,0,13193010,0,0,0,0,0,38407500.00,711250.00,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 18:53:42,0.012000,316740,0,17103960,0,0,0,0,0,39109500.00,724250.00,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 18:53:42,0.046000,389762,0,21047148,0,0,0,0,0,39431880.00,730220.00,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 18:53:42,0.039000,456464,0,24649056,0,0,0,0,0,36019080.00,667020.00,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 18:53:43,0.900000,464703,0,25093962,0,0,0,0,0,469439.90,8693.33,0,0,0,DDoS
10.0.0.7-10.0.0.4-6-0-0,10.0.0.7,0,10.0.0.4,0,6,20/01/2026 18:54:40,1.228000,1082,0,58428,0,0,0,0,0,49411.99,915.04,0,0,0,DDoS
10.0.0.4-10.0.0.3-6-0-0,10.0.0.4,0,10.0.0.3,0,6,20/01/2026 18:54:43,55.633000,93596,0,5054184,0,0,0,0,0,96162.84,1780.79,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 18:55:29,162.704000,388236,0,16305912,0,0,0,0,0,7597856.54,180901.35,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 19:01:11,498.866000,446160,0,18738720,0,0,0,0,0,2422955.71,57689.42,0,0,0,DDoS
10.0.0.7-10.0.0.4-6-0-0,10.0.0.7,0,10.0.0.4,0,6,20/01/2026 19:01:53,427.213000,2019,0,109026,0,0,0,0,0,41420.89,767.05,0,0,0,DDoS
10.0.0.7-10.0.0.4-6-0-0,10.0.0.7,0,10.0.0.4,0,6,20/01/2026 19:01:54,403.798000,1323,0,71442,0,0,0,0,0,29372.82,543.94,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 21:48:36,1.228000,839,0,35238,0,0,0,0,0,33686.94,802.07,0,0,0,DDoS
10.0.0.5-10.0.0.6-1-0-0,10.0.0.5,0,10.0.0.6,0,1,20/01/2026 21:56:11,456.884000,17724,0,744464,0,0,0,0,0,413573.65,9846.99,0,0,0,DDoS
10.0.0.5-10.0.0.6-1-0-0,10.0.0.5,0,10.0.0.6,0,1,20/01/2026 21:56:14,460.193000,781783,0,32834942,0,0,0,0,0,8527389.12,203033.07,0,0,0,DDoS
10.0.0.5-10.0.0.6-1-0-0,10.0.0.5,0,10.0.0.6,0,1,20/01/2026 21:56:16,461.658000,1121549,0,47105114,0,0,0,0,0,7344238.03,174862.81,0,0,0,DDoS
10.0.0.5-10.0.0.6-1-0-0,10.0.0.5,0,10.0.0.6,0,1,20/01/2026 21:56:18,463.705000,1559618,0,65504012,0,0,0,0,0,10406862.77,247782.45,0,0,0,DDoS
10.0.0.5-10.0.0.6-1-0-0,10.0.0.5,0,10.0.0.6,0,1,20/01/2026 21:56:20,465.554000,1840790,0,77313236,0,0,0,0,0,7062386.47,168152.06,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 22:45:20,0.014000,495154,0,20796468,0,0,0,0,0,115387860.00,2747330.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 22:45:20,0.003000,1046752,0,43963584,0,0,0,0,0,115510920.00,2750260.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 22:45:20,0.000000,1319073,0,55401066,0,0,0,0,0,114374820.00,2723210.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 22:45:20,0.003000,1596184,0,67039728,0,0,0,0,0,116386620.00,2771110.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 22:45:20,0.000000,1865142,0,78335964,0,0,0,0,0,112962360.00,2689580.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 22:45:21,0.880000,1899127,0,79763334,0,0,0,0,0,1443356.23,34365.62,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 22:47:01,100.277000,1899785,0,79790970,0,0,0,0,0,28783.82,685.33,0,0,0,DDoS
10.0.0.11-10.0.0.12-17-0-0,10.0.0.11,0,10.0.0.12,0,17,20/01/2026 22:47:35,1.486000,7627,0,320334,0,0,0,0,0,316998.27,7547.58,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 22:47:54,0.000000,181156,0,9782424,0,0,0,0,0,66516120.00,1231780.00,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 22:48:14,0.008000,171442,0,9257868,0,0,0,0,0,11483843.10,212663.76,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 22:48:14,0.000000,276036,0,14905944,0,0,0,0,0,28829991.01,533888.72,0,0,0,DDoS
10.0.0.5-10.0.0.6-1-0-0,10.0.0.5,0,10.0.0.6,0,1,20/01/2026 22:48:25,209.204000,80889,0,3397394,0,0,0,0,0,3553804.58,84614.39,0,0,0,DDoS
