Timestamp,SrcIP,DstIP,Proto,PPS,AI_Prob_Normal,AI_Prob_Attack,Verdict,Action,Reason
2026-01-22 19:13:42,10.0.0.5,10.0.0.6,17,101,0.85,0.15,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:13:43,10.0.0.5,10.0.0.6,17,99,0.85,0.15,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:13:44,10.0.0.5,10.0.0.6,17,92,0.85,0.15,WARNING,MONITOR,Elevated Traffic (92 pps)
2026-01-22 19:13:45,10.0.0.5,10.0.0.6,17,104,0.85,0.15,WARNING,MONITOR,Elevated Traffic (103 pps)
2026-01-22 19:13:46,10.0.0.5,10.0.0.6,17,98,0.90,0.10,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:13:47,10.0.0.5,10.0.0.6,17,93,0.85,0.15,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:13:48,10.0.0.5,10.0.0.6,17,101,0.80,0.20,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:13:49,10.0.0.5,10.0.0.6,17,98,0.80,0.20,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:13:50,10.0.0.5,10.0.0.6,17,95,0.80,0.20,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:13:51,10.0.0.5,10.0.0.6,17,101,0.80,0.20,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:13:54,10.0.0.5,10.0.0.6,17,94,0.90,0.10,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:13:55,10.0.0.5,10.0.0.6,17,103,0.90,0.10,WARNING,MONITOR,Elevated Traffic (102 pps)
2026-01-22 19:13:56,10.0.0.5,10.0.0.6,17,97,0.90,0.10,WARNING,MONITOR,Elevated Traffic (96 pps)
2026-01-22 19:13:57,10.0.0.5,10.0.0.6,17,94,0.90,0.10,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:13:58,10.0.0.5,10.0.0.6,17,101,0.90,0.10,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:13:59,10.0.0.5,10.0.0.6,17,94,0.90,0.10,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:14:00,10.0.0.5,10.0.0.6,17,102,0.90,0.10,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:14:01,10.0.0.5,10.0.0.6,17,98,0.90,0.10,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:14:02,10.0.0.5,10.0.0.6,17,93,0.90,0.10,WARNING,MONITOR,Elevated Traffic (92 pps)
2026-01-22 19:14:03,10.0.0.5,10.0.0.6,17,102,0.90,0.10,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:14:04,10.0.0.5,10.0.0.6,17,98,0.90,0.10,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:14:05,10.0.0.5,10.0.0.6,17,93,0.90,0.10,WARNING,MONITOR,Elevated Traffic (92 pps)
2026-01-22 19:14:06,10.0.0.5,10.0.0.6,17,102,0.85,0.15,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:14:07,10.0.0.5,10.0.0.6,17,92,0.80,0.20,WARNING,MONITOR,Elevated Traffic (92 pps)
2026-01-22 19:14:08,10.0.0.5,10.0.0.6,17,103,0.80,0.20,WARNING,MONITOR,Elevated Traffic (103 pps)
2026-01-22 19:14:09,10.0.0.5,10.0.0.6,17,96,0.80,0.20,WARNING,MONITOR,Elevated Traffic (95 pps)
2026-01-22 19:14:10,10.0.0.5,10.0.0.6,17,93,0.80,0.20,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:14:11,10.0.0.5,10.0.0.6,17,100,0.80,0.20,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:14:12,10.0.0.5,10.0.0.6,17,96,0.80,0.20,WARNING,MONITOR,Elevated Traffic (96 pps)
2026-01-22 19:14:13,10.0.0.5,10.0.0.6,17,93,0.80,0.20,WARNING,MONITOR,Elevated Traffic (92 pps)
